;text;sentFator
985;@clubedopairico #PETR4 poderia descer de 15,42. Aí sim ficaria bonito!;Negativo
991;HGTX CIA HERING dividendos ||aprov 23/4/2014||dataex 24/4/2014||pagto 28/5/2014||HGTX3 R$0,3037 http://t.co/nN7pFUCoM3;Neutro
992;A véia do neurônio solitário caiu nas pesquisas, resultado PETR4 subindo 6,7%,;Positivo
994;$ELET3 - Eletrobras (elet-n1) - Demonstracoes Financeiras De 31/03/2014 (individual) http://t.co/9lHfkhkh7I;Neutro
996;Prumo Logística, ex-LLX, anuncia prejuízo de R$ 135,8 milhões em 2013:   A Prumo Logística, ex-LLX (LLXL3), d... http://t.co/rRj3tA4Q3b;Neutro
998;RT @tbhhmari: tenho saudades de falar contigo todos os dias;Negativo
999;“@picapautrader: #VALE5 última hora para o bebê abandonado da Vale não virar bebê cagado!!”;Negativo
1000;Petr4 - Quando ha noticias ´´boas´´ acao cai.. quando aparece escandalos e outras not. nao agradeveis, sobe.. #toforaaaaa;Negativo
1002;Opinião - Ativa indica 5 papéis para comprar ainda esta semana: Saíram as ações da Vale (VALE5), da Klabin (KL... http://t.co/ClomJYgax5;Neutro
1003;RT @ubrals:  sim, sim. este é @DepEduardoCunha, contra o MC. E &gt,@eduardocampos40 que fez PSB votar contra CPI #PETR4 http://t.co/RrsQo0KMWN;Negativo
1004;Oibr4, gráfico diário. Fechamento em R$ 3.40 com queda de 0.87%. http://t.co/WhhQ5QMVMb;Neutro
1008;#PETR4 caiu tanto nesses últimos ano que só o custo de oportunidade já é mto representativo..;Negativo
1011;@Live_Trade deixa o M Lynch acordar q a festa da #PETR4 acaba;Negativo
1012;#GGBR4 a forte alta dos alugueis foram zerados ontem e termo em alta, só falta bombar e tem que pivotear pra cima! http://t.co/Nk49A0cONJ;Positivo
1017;@clubedopairico  Ibovespa nas médias. Se bobear da pra brincar de urso se o mov. da PETR4 for só uma correção. De olho! o.O;Negativo
1019;@RaphaFigueredo professor, acha que ainda vale entrar em MPLU3, ESTC3 e BBSE3?;Neutro
1020;$RENT3 - Localiza (rent-nm) - Distribuicao De Juros Sobre O Capital Proprio (valor Final) http://t.co/55QS0ImihK;Neutro
1021;Apesar de pouco volume ainda, hype3 linda no mensal..... Nos 60 pivot acionado!;Positivo
1028;#VALE5 As opções venc dia 19/05 vão virar PÓ ai a VALE5 vai subir é claro !!!!!!!!!;Negativo
1030;#QUAL3 - Qualicorp amplia prejuízo para R$41,2 mi no 4º tri - http://t.co/H3wxziECUU;Negativo
1031;@ferrisss Alugou suas LLXL3 ontem?;Neutro
1035;"Pré-sal e pós-sal: Petrobras implanta nova plataforma

A PETROBRAS (PETR4) anunciou ontem que a plataforma P-58,... http://t.co/PwbB8tIqh0";Neutro
1038;Mas VALE5 tinha que passar dos $28,00, pra COMEÇAR a deixar a nhaca pra trás...;Negativo
1039;RT @garimpodeacoes: Localiza(RENT3)tem lucro recorde e mantém expectativa positiva p/o corrente ano. Agora sobe na Bovespa 2,84% mas na máx…;Positivo
1042;RT @chrinvestor: Só ontem a #PETR4 ganhou R$14 Bi em valor de mercado. Isso representa 5 'Pasadenas'. Pena q essa valorização é uma exceção…;Negativo
1043;Esqueça Pasadena, Petrobras tem um problema maior no nordeste #PETR4 http://t.co/gJYuMN9d2p;Negativo
1047;"A LIGHT S.A. fechou o dia de hoje ao preço de R$ 19,32 (+0,75%) com volume de R$ 15,78 mm.
$LIGT3";Positivo
1049;bom ... o volume encolheu bastante depois da arrancada ... entonssis ... vamos ver ... vamos ver ... #PETR4;Positivo
1050;TEMPO REAL: China puxa alta da Vale, CSN sobe mais de 3% com recompra de ações: Acompanhe aq... http://t.co/dSOg2frxJQ #infomoney #vale5;Positivo
1055;RT @Live_Trade: #vale5 se menor 26,66 abre alvo p/ baixo...PQP  rsr;Negativo
1057;Conheça a queridinha do Ibovespa, papel é recomendado 15 vezes: A ação da Vale é, pela nona ... http://t.co/dn1MT6Thg6 #infomoney #vale5;Positivo
1059;Rastreamento ações-Gráfico diário-16h Analise se romper:AEDU3 13,70 BRML3 19,19 EMBR3 20,46 ESTC3 22,25 ESTC3 22,25 HGTX3 27,53;Neutro
1063;$PETR3 - Petrobras (petr) - Comunicado http://t.co/mHuCIyQmFi;Neutro
1064;21/03/14-17:22: Maiores Baixas: ESTC3 -5,10% R$21,58, LLXL3 -3,13% R$0,93, DASA3 -2,55% R$13,75, JBSS3 -2,41% R$7,68, KROT3 -1,91% R$ 47,82.;Negativo
1066;Após se livrar das linhas do #RivaKeltner e da #médiaROCK o diário de ITUB4 engrenou uma alta ... Leia mais  http://t.co/jV00e9tULP;Positivo
1068;@FHC_Fake Com esse fundamentos é brincar com o povo ! saudades dessa pessoa  http://t.co/wEvHtja81A http://t.co/en3ovUXU2R;Negativo
1072;RT @picapautrader: #SBSP3: O índice que mede o volume de água armazenado nos reservatórios do Sistema Cantareira registrou novo... http://t…;Neutro
1074;"A LIGHT S.A. fechou o dia de ontem ao preço de R$ 18,40 (+2,17%) com volume de R$ 28,25 mm.
$LIGT3";Neutro
1077;Confira o potencial de valorização de 66 ações, upside supera 120%: Foram utilizadas as prev... http://t.co/HbPlnX7Nxm #infomoney #vale5;Positivo
1079;Boa a recuperação de BBAS3 e BVMF3, nos últimos 2 pregões. Até PETR4 deu uma melhoradinha... que vá pelo menos a $15,00.;Positivo
1085;@kimsjrp bolsa bombando novamente, vamu que vamu Petr4 e Vale5, quero ganhar uma grana com vcs...uuuuuu;Positivo
1087;@live_trade tá mesmo com uma cara boa essa venda. Vamos aguardar. #PETR4 e #VALE5 estão bem doidinhas hoje.;Positivo
1090;Ações ex-dividendos hoje: CESP, CPFE3, ECOR3, ENBR3, GRND3, ODPV3, SSBR3, POSI3 e TGMA3. As cotações foram ajustadas! http://t.co/C7k4DuDID2;Positivo
1092;#petr4 hj foi 14,45 Obj Cumprido, e suporte 14,09 funfou...rsrrsr;Positivo
1093;$ELET3 - Eletrobras (elet-n1) - Demonstracoes Financeiras De 31/12/2013 - Reapresentacao http://t.co/pjuOmjfttt;Neutro
1095;Queria muito saber quais fundos entraram forte comprando PETR3 hoje.;Neutro
1098;$ELET3 - Eletrobras (elet-n1) - Fato Relevante E Demonstracoes Financeiras De 31/12/2013 http://t.co/e2NiBfz6vY;Positivo
1099;#MEAT #BOVESPA #JBSS3 #FRIBOI IPO da JBS Foods ajudaria JBS a financiar investimentos: http://t.co/v9DrUDFco8;Neutro
1102;@will_vs Alll3 Cuidado!!!! . os valores hj são tros, assim que ligar passo;Neutro
1106;JBS (#JBSS3) avalia abertura capital de subsdiária após questionamento da bolsa. http://t.co/TUIZGYrfHU    (Valor);Neutro
1108;@Fontes_  Petrobras PETR4 - Lula capitalizou em 2010 a R$ 26,30. Últimos 6 meses...Março na bacia das almas! http://t.co/l00d2g2AtO;Neutro
1112;RT @rachelasdfglee: GOLOOOOOOOOOOOoOOOOO;Positivo
1115;Terceiro programa de recompra de ações da #CSN #CSNA3 anunciado em um total de recompra de 53.326.161 ações. Ativo sobe mais de 5,5%.;Neutro
1118;#MRFG3 - Marfrig estuda abrir capital de subsidiárias no exterior neste ano - http://t.co/FP8QGNti2J;Neutro
1121;#ELET3 - Eletrobras vai captar cerca de R$ 4 bilhões neste ano, diz presidente - http://t.co/Mvatua7YRb;Neutro
1124;#BR #BOVESPA #BRPR3 BR Properties anuncia venda de R$ 3,18 bilhões em imóveis. http://t.co/ip3sXYLaXA  #IBOV - 0,93% aos 46.654 pontos.;Positivo
1127;tá explicado movimento da #PETR4 hoje. PF pegou peixe grande, implicação grande no 'guvêrno'. E minhas #INDJ14 ó… nada de conseguir vender.;Negativo
1129;Segue o gráfico atualizado da #OIBR4 pelas #Ondasdeelliot : http://t.co/UdxRKAHkMx;Neutro
1130;#Intraday Maiores altas do #Ibov: ELET3 +10,0% LLXL3 +8,7% RSID3 +7,2% PETR3 +7,2% BBAS3 +6,9% PETR4 +6,9%;Neutro
1131;#PDGR3 Suportes e resistências http://t.co/2HnLmAflrF;Positivo
1133;pô, de novo leilão da #PETR4 começando nos R$33,00 ?!!?!?;Negativo
1134;#PETR4 fêz na máx de 07/05 uma Onda 3 de topo tem obj de Onda 4 em 16,40 e 15,70 com alvo de Onda 5 para 20,15 22,50 http://t.co/zlP5kPvvul;Neutro
1135;$CSNA3 - CSN e Usiminas: Má notícia [Newsletter ADVFN] http://t.co/il4dCT8EMC;Negativo
1137;Análise e dados da Vale (VALE5) - Confira http://t.co/VO9t23O3BI;Positivo
1139;RT @Jgrafista11: Nos 60 min da #PETR4 podemos ter feito uma Onda 5 de topo , uma C de Topo e abaixo de 14,45 alvos 13,75 13,55 e 13,40 http…;Positivo
1141;$BBAS3 - Banco Do Brasil (bbas-nm) - Relatorio De Analise Gerencial   Reapresentacao http://t.co/06H7Ncc4jQ;Positivo
1148;Ibovespa vai mesmo nos 44.000 pontos 'for while'. Daqui a 200 anos qdo o PT sair do poder ela deve subir, ibov petr4 vale5;Negativo
1151;#ABEV3 - Ambev vai manter preço da cerveja sem aumento até o fim da Copa - http://t.co/uQvcMid5PG;Neutro
1155;RT @joanarauhl: eu adoro a minha stora de história, mesmo que ela seja bué má ás vezes ela tem uma personalidade mesmo fixe;Positivo
1158;RT @ferrisss: PETR4: Estatal tenta separar em duas partes o Campo d Lula (Bacia de santos), mas a Agência vê estratégia d empresa p pagar m…;Neutro
1159;pro buraco! kk é mais fundo. RT @Live_Trade: #petr4 no limite ....em cima do muro, vamos empurrar p/ qual lado?;Negativo
1161;Concórdia recomenda 15 papéis para comprar nessa semana, confira: As três carteiras da corre... http://t.co/0k8EGYu3PD #infomoney #vale5;Positivo
1167;A última indicação da #GOLL4 resultou em -4.81 %. Confira a nova indicação agora em http://t.co/kgt1YiTbF7;Negativo
1168;RT @alexandradd25: Este tempo está lindoooo;Positivo
1169;Ôrrrra, finarmenti, hein!! | FHC muda discurso e diz que apoia CPI para investigar #PETR4 #Pasadena http://t.co/33WJ6NBvWW via @estadao;Positivo
1174;Só uma observação de quem tá comprado em ITUB4 e BBDC4: rebaixa nóis seus tonto!;Negativo
1179;"(-) USIM5, USIM3 e CSNA3: CADE DECIDE QUE CSN TERÁ DE REDUZIR PARTICIPAÇÃO NA USIMINAS
O Conselho Administrativo... http://t.co/4tPso1oeiU";Negativo
1181;Opa de olho usim5;Neutro
1183;BBAS3 confirma engolfo de baixa do dia 6. O que significa e como identificar esse padrão dos candlesticks. Assista! http://t.co/EhHH5Yl5sY;Neutro
1184;A última indicação da #PETR4 resultou em 9.05 %. Confira a nova indicação agora em http://t.co/kgt1YiTbF7;Neutro
1185;$ESTC3 - Estacio Part (estc-nm) - Demonstracoes Financeiras De 31/03/2014 (cons) http://t.co/Ne3NwkBNaX;Neutro
1186;Rastreamento ações-Gráfico diário-16h. Analise se romper:  PCAR4 99,03;Neutro
1188;Macktrader Investimentos : Petrobrás PN (PETR4), Gráfico Diário. Ação sobe forte com volume... http://t.co/Wfe9wpT8Sz;Positivo
1189;"A LIGHT S.A. fechou o dia de hoje ao preço de R$ 18,75 (+0,54%) com volume de R$ 17,85 mm.
$LIGT3";Positivo
1196;BB Investimentos troca 5 ativos de sua carteira, veja recomendações: Neste mês, entraram as ... http://t.co/6nvfUxbw1P #infomoney #vale5;Neutro
1197;#BBDC3 - Bradesco vê lucro subir 18% e atingir R$ 3,47 bilhões no 1º trimestre - http://t.co/rijTikh6EY;Neutro
1199;#VALE5 fechou no padrão 'Chapéu de Ching Ling' http://t.co/yfH1eRYFjN;Negativo
1200;RT @imcharliedrew: Podem explicar-me o que é que está a acontecer?????????????????;Negativo
1205;"#VALE5 respeitou fundo anterior.
#ToDeOLho http://t.co/CeYkLkkAd6";Positivo
1206;Ontem tinha separado enbr3, espero PB;Neutro
1207;Reveses ameaçam metas de petróleo e gás da Petrobras em 2014InfoMoneyRIO DE JANEIRO - A Petrobras (PETR3, PE... http://t.co/f61nfGPwJk;Negativo
1212;$GOLL4 - GOL divulga Edital de Convocação para AGO http://t.co/gIyjNJ73G0;Neutro
1213;$BBAS3 - Banco Do Brasil (bbas-nm)- Demonstracoes Financeiras Em Ifrs De 31/12/2013 http://t.co/SGlpEJ8TjL;Positivo
1214;Foi lá agora é aguardar!!!! RT @Live_Trade: #vale5 26,28 o de 15 que fechar acima, cp rompimrnto;Positivo
1215;Ações ex-dividendos hoje: MRVE3 e SULA11. As cotações históricas foram ajustadas. Saiba mais! http://t.co/C7k4DuDID2;Neutro
1219;#king kong #petr4 fechando 60'acima 13,47, se romper 13,86 próx;Positivo
1220;@Live_Trade adoro padroes de impulsao e reversao! FIBR3 dando aquele caldinho na venda! abs;Neutro
1223;Com 'combinação perfeita' e alívio chinês, Petrobras e Vale ganham R$ 5,5 bi em valor: Com v... http://t.co/0SVCtYykeJ #infomoney #vale5;Positivo
1224;então é tipo elet3 vs cambi 1;Neutro
1226;RT @Leidyjuana1: ♥&lt,Antes de empezar-Santiago Cruz3♥;Positivo
1227;$PBR (ADR PETR4) falhou o teste de quebra da LTB....;Negativo
1228;Fibonacci na #goll4 se romper suporte de 13,80, pode devolver os ganhos dos últimos dias;Neutro
1229;#PETR3 #PETR4 - Fitch afirma rating da Petrobras em BBB com perspectiva estável - http://t.co/O6p9US6gV4;Neutro
1230;Compra de QUAL3, EQTL3 e BRPR3 - 26/05/2014 http://t.co/2Qqft41vuD;Positivo
1231;$BBDC3 - Bradesco (bbdc-n1) - Relatorios De Analise Gerencial http://t.co/NpevWwoQTO;Neutro
1236;$PETR3 - Petrobras (petr) - Plataforma P-58 Entra Em Operacao No Parque Das Baleias http://t.co/dNibc1H21z;Positivo
1237;$SBSP3 - Sabesp (sbsp-nm) - Alteracao Do Calendario De Eventos Corporativos http://t.co/LzkdSaXOqv;Neutro
1238;PDGR3 vender a R$ 1.47 indicado em 05/03/2014 14:18 e finalizou a compra com resultado de R$ -0.09 ou -5.77 % http://t.co/kgt1YiTbF7;Neutro
1239;17/04/14 - 17:18: Maiores Altas: BBAS3 4,71% R$24,20, ELPL4 4,26% R$9,29, PETR3 4,04% R$15,69, PETR4 3,99% R$16,41, GGBR4 3,91% R$13,81.;Neutro
1240;Macktrader Investimentos : Petrobrás PN (PETR4), Gráfico Semanal. Estudo das Médias Móveis x... http://t.co/hatEv1WURo;Positivo
1241;Concórdia indica 15 papéis para investir neste mês: A corretora optou por fazer apenas uma a... http://t.co/TVV9DckmRs #infomoney #vale5;Positivo
1242;BRKM5 comprar a R$ 16.45 indicado em 19/03/2014 12:20 e finalizou a venda com resultado de R$ 1.37 ou 8.33 % http://t.co/kgt1YiTbF7;Neutro
1244;$SBSP3 - Sabesp (sbsp-nm) - Negociacao Com A Emae Para Resolucao De Acoes http://t.co/D192xgQFKV;Neutro
1245;Prepare-se para o próximo pregão! Assista à análise - IBOV, PETR4, VALE5, SMLE3, MGLU3, BRKM5, USIM5, RAPT4 e LIGT3. http://t.co/9ZsVeVYjAt;Positivo
1246;PETR4 comprar a R$ 13.32 indicado em 19/03/2014 14:10 e finalizou a venda com resultado de R$ 1.06 ou 7.96 % http://t.co/kgt1YiTbF7;Neutro
1248;Marfrig (MRFG3) – Divulgou seu resultado do 4Q13 apresentando boa melhora com números acima da expectativa. #VisãoAtiva;Positivo
1253;@Live_Trade Marcos, vc se manteve na comrpa da goll4? deu um belo up side....;Positivo
1254;Rastreamento ações-Gráfico diário-16h. Analise se romper:ALLL3 7,03 BBTG11 27,21 CCRO3 16,43 ECOR3 13,03 ESTC3 22,11 GFSA3 3,29;Neutro
1258;Ativo c/ vol Financeiro Superior à sua MM21-12h: ESTC3 EURFUT RDNI3 SLED4;Neutro
1263;Dilma presidente do Conselho #PETR4 Há! @SakaBrasil2 Por experiência, colocar tartaruga chiliquenta como gerente no alto do poste é prática;Negativo
1264;RT @Umbiigo: A relação que eu tenho com os meus vizinhos é totalmente diferente como as que se vê nos filmes. Eu sei lá o nome da velha cox…;Positivo
1265;LLXL3 vai fazer fundo duplo se ela não consegue romper os 0,98. Desde 09-2010 em linda tend. de baixa.;Neutro
1266;@ferrisss @MinoritariosOGP @TraderBolsa @bussoladoinves Análise dos fundamentos de #Embraer #EMBR3 até ITR de 03/2014 http://t.co/nnLJG5AhIp;Neutro
1267;27/03 O Ibovespa fechou em alta de +3,50%, aos 49.646 pts. Destaques: ELET3 +11,05%, LLXL3 +9,78% e RSID3 +9,15%. http://t.co/j9yUOf2ipY;Neutro
1270;@topBovespa ... e BBAS3 sobe 3%! Faz sentido...;Neutro
1271;$NATU3 - NATURA (NATU3) possui a marca mais valiosa da América Latina http://t.co/nhlQ8NeQX4;Positivo
1272;Oibr4 - diário http://t.co/C7hqR0cSmY;Neutro
1274;@malcaetano : vários papéis com IMA-Entrada intetessante: GGBR4 a 0.85, VALE5 a 0.85. Surgindo compradores no mercado?;Positivo
1277;Finalizando o dia com um stop loss em Usiminas (USIM5), porém com um lucro maior que 20% nessa operação de venda.... http://t.co/YRki2dGTiJ;Neutro
1279;Além da poupança: Análise e opiniões - BRFS3 e MDIA3 - http://t.co/K8mC13Fv9H;Neutro
1282;timp3 cancelou o gatilho no semanal. IBOV no semanal fazendo um repique, cancelando todos os gatilhos, normal. Ainda tem bvmf3 e jbss3;Neutro
1283;#BBAS3 fêz Onda 3 de fundo dia 19/02 e tem alvo de Onda 4 entre 21,00 e 22,10 , sup em 19,30 e 18,00 http://t.co/6xvCwDA8aM;Positivo
1284;IBOVESPA sobe pelo 5º dia seguido, sem a colaboração da PETR4, que cai 0,28%, VALE5, em queda de 0,73% e VALE3, -0,36%;Neutro
1285;A última indicação da #OIBR4 resultou em 3.79 %. Confira a nova indicação agora em http://t.co/kgt1YiTbF7;Neutro
1287;RT @r_oliveira_: Iniesta conseguiu um pênalti tentando um drible raio-x. 1º tempo de ótimo futebol e 2º tempo de bastante discussão de arbi…;Neutro
1288;#bisa3 olhando p/ precipício, só falta o empurrão....;Negativo
1293;será que a csna3 vai lançar o terceiro programa de recompra?;Neutro
1294;Rastreamento ações-Gráfico diário-16h. Analise se romper:GFSA3 3,81 HBOR3 7,90  HYPE3 16,54 IBOV 52344,52 ITUB4 35,77 LIGT3 19,22 MGLU3 7,19;Positivo
1295;Enquanto se questiona a força da bolsa brasileira, os ativos dos 2 principais bancos privados do país fazem máximas históricas #ITUB4 #BBDC4;Positivo
1298;RT @stancatiTrader: A #PETR4 cumpre o papel dela, ou seja, a empresa é um retrato perfeito do governo. Ineficiente, inflada e corrupta é qu…;Negativo
1301;#Petrobrás anuncia descoberta de nova jazida de #propina no pré-sal e aumento da exploração do fisiologismo na bacia das almas. #PETR4;Negativo
1303;Não foram só estatais, veja quem mais ganhou com rumor de queda de Dilma nas pesquisas: 42 d... http://t.co/xlCqyk502s #infomoney #vale5;Neutro
1304;Bancos, varejo, petróleo e siderurgia, as opiniões de um gestor sobre 4 setores: O destaque ... http://t.co/HfazYF2uc0 #infomoney #vale5;Positivo
1305;"Corrige logo essa porcaria de CIEL3!!! 
@folhainvest #despencoumeuranking";Negativo
1307;Ações para comprar, esquecer e garantir sua aposentadoria: Eduardo Machado, analista da Amar... http://t.co/6AgEpHuaWW #infomoney #vale5;Positivo
1308;A última indicação da #MRFG3 resultou em 0.44 %. Confira a nova indicação agora em http://t.co/kgt1YiTbF7;Neutro
1309;$PETR4 RT @valor_economico: Ministra do STF determina instalação de CPI exclusiva da Petrobras http://t.co/WCdgonkilB;Neutro
1312;$ECOR3 - Ecorodovias (ecor-nm)   Ago/e   28/4/14   10h30  Dist. De Dividendo(complemento) http://t.co/roZDihEpaA;Neutro
1315;#petr4 a pouco dos 14,45 rsrsr;Positivo
1316;$PETR4 - Eike Batista's MMX Mineracao e Metalicos Joins Ibovespa Index http://t.co/sMHNB1LL4L;Neutro
1317;@ferrisss Ferris, vc sabe o que ta acontecendo com a oibr4?;Negativo
1323;Veja as melhores ações para comprar nesta semana, de acordo com 8 corretoras: Os papéis da G... http://t.co/L6OsbF6Os6 #infomoney #vale5;Positivo
1324;RT @Fontes_: Fim do leilão na #bovespa #petr4 alta de 6,61% na máxima do dia, #vale5 alta de 1,93% e #bbas3 alta de 5,64%, #ibov alta de 2,…;Positivo
1326;A última indicação da #ELET3 resultou em -4.15 %. Confira a nova indicação agora em http://t.co/kgt1YiTbF7;Neutro
1327;Gatilho position, semana que vem:   Ativo mrve3 - Venda  - Validade 14/mar - Start 7,86 - Stop 8,57 - RP 7,15 http://t.co/YZMScHz2Ab;Neutro
1328;@CaciqueInvest E #brfs3 então...vc já deu uma olhada?;Neutro
1334;Goau4 recuperou as perdas e indica entrada pelas MM. Volume de compra está aumentando, porém acho que vou diminuir a exposição.;Neutro
1337;ELET6 comprar por R$ 9,06 indicado em 27/02/2014 13:41 http://t.co/zJRs3Eeyz9;Neutro
1339;Cade aprova joint venture de Vale e Cemig GT em geração de energia: No âmbito da operação, o... http://t.co/dUvnfHHUDh #infomoney #vale5;Neutro
1342;Concluímos que o melhor negócio do mundo é uma petroleira bem administrada. O segundo, é uma mal administrada. A #PETR4 é o terceiro!;Neutro
1344;Previsível. VALE5 sendo penalizada por dados da China. BOVESPA acelerando queda.;Negativo
1347;A última indicação da #MRVE3 resultou em 0.25 %. Confira a nova indicação agora em http://t.co/kgt1YiTbF7;Positivo
1348;@GutoAbranches @denisebarbosa @valor_economico  Valor de mercado do #Facebook #FB é maior do que da #Petrobrás PETR4 http://t.co/fvrM2s4hzC;Neutro
1353;Estratégia de Análise Técnica para o pregão de hoje CYRE3 #analisetecnica http://t.co/jzVyaaWW0V;Neutro
1355;3 pessoas visualizaram seu perfil agora http://t.co/DAbXDMSS43;Neutro
1356;Entramos na compra pra posição de CSNA3 hoje a 9.60. Estamos no game.;Positivo
1359;Wikileaks: Casa Branca consultou Dilma antes de autorizar aquisição de refinaria por Petrobrás #PETR4 http://t.co/Bq8aKioBnC;Neutro
1360;"#BBSE3 preço alvo R$27,00 - Corretora recomenda 3 carteiras para março: arrojada, dinâmica e moderada
Veja mais em: http://t.co/EjU3oD5j5Q";Positivo
1362;RT @ppaulovagner: @garimpodeacoes Alta da PETR4 é 'Sem Fundamento', mas, c/ muita esperança. KKKK;Neutro
1363;Maiores Altas: ALLL3 +7,16% | CRUZ3 +6,71% | PRML3 4,35% | CSAN3 +2,98% | ELET3 +2,64%.;Neutro
1365;$ELET3 - Eletrobras (elet-n1) - Material De Apresentacao - Reapresentacao http://t.co/c6lxTa9jHP;Neutro
1366;Dados de fevereiro da BM&amp,FBovespa (#BVMF3) indicam trimestre fraco. http://t.co/Ta1csWUBjy   (Reuters);Negativo
1368;RT @barbiesemken: dai sua amiga fala que te ama e fica toda fofa com vc http://t.co/RVWwAgQAz9;Positivo
1369;Credit Suisse é o responsável por 55% das vendas líquidas em PETR4 no dia de hoje.;Neutro
1371;@ferrisss E ela é a maior vendedora em VALE5;Neutro
1375;É claro que a ação do BBAS3 cairia hoje: subiu 7% ontem, hoje o pessoal queria lucrar - e deve ter sido MUITA gente.;Neutro
1377;#VALE5 suportes e resistências, veja ainda notícia no comentário. http://t.co/sJrLzoBlUT;Neutro
1384;#IBOV #MRFG3 Marfrig realiza assembleia geral ordinária dia 17 de abril de 2014, às 10:00h. http://t.co/5BYxsyu6Vm;Neutro
1386;#PETR4 vendido em R$16,60!;Positivo
1387;#csna3  pra repique (mensagem: 951275)  http://t.co/0lvvbKwG7J;Neutro
1392;Ações !! #IBOV #PDGR3 disparando hoje !!! Bons resultados.;Positivo
1393;RT @Kitumbz: odeio ser tão insegura;Negativo
1394;*** SAIU DO FORNO: RUI FALCÃO: Governo pode discutir controle de capital mais rigoroso. (tome queda na #petr4, estatais e tudo);Negativo
1395;RT @clubedopairico: @lambari_trader @Trader_Richter mas não é reduzir a gasolina pra #PETR4 ... é na bomba. =);Negativo
1396;$TBLE3 - TRACTEBEL (TBLE3) adquire totalidade do capital social da CLWP Brasil III Participações http://t.co/U6Ye8zmmjk;Positivo
1399;Petrobras confirma precificação de títulos de US$ 8,5 bilhões: SÃO PAULO, 10 Mar (Reuters) - A Petrobras PETR4... http://t.co/gSdgOFzDCy;Neutro
1400;façam suas 'apostas': a #PETR4 virá testar os R$13,50 ? ,);Neutro
1402;$CMIG4 - Aviso de Vídeo Webcast: A Companhia Energética de Minas Gerais - CEMIG anuncia a Vídeo Webcast e http://t.co/bU05WM0FUN;Neutro
1406;#ABEV3 Hoje, dia 22/05/2014, é a data limite para negociação dos direitos de subscrição da AMBEV S.A (ABEV1).... http://t.co/uUnPNVLCr0;Neutro
1407;"RT @Smarttrade10: Antecipamos aqui que ITUB4 passaria PETR4 em peso no IBOV. Hoje está saindo noticias confirmando. 
@ferrisss @dfittarelli";Neutro
1412;#PETR4 recuperando! Vamos ver quanto sobe até o exercício da Serie C, segunda. #PETROBRAS;Positivo
1415;@DuctorMarcus @piacesiramos agora a VALE5 so decepcao como ficou podre esse papel;Negativo
1417;Oibr Pn (OIBR4), Gráfico Diário. Estudo do botão v... http://t.co/hRoEi2m3Vq;Neutro
1419;RT @Live_Trade: timp3 deu vd e não vi ' que sorte' não pára de subir!;Positivo
1420;GOLL4. 40 zerando posição vendida. Pelo sim pelo não, hora de colocar no bolso.;Positivo
1421;RT @picapautrader: #PETR4 'se a petro bater nos 15 eu vendo até as cuecas pra comprar mais' pergunta: o cabra hj tá andando de calcinhas???;Positivo
1423;$AEDU3 - Anhanguera (aedu-nm) - Alteracao Do Calendario De Eventos Corporativos http://t.co/jBvTIfKBBF;Neutro
1426;Ainda sobre o escândalo da #PETROBRAS #PETR4. PT não privatizou a empresa: preferiu QUEBRÁ-LA! http://t.co/U3MhxNvaxS;Negativo
1434;Feeeeeliz;Positivo
1437;e o da #VALE5 ?? R$53,00 !!!!!!!!!!!! =);Neutro
1444;"#OqueFazer Tem muita gente desesperada com prejuízo e outros loucos para comprar algo.
Setores para olhar de perto #Consumo #GGBR4 #USIM5";Negativo
1449;será ? R$13,50 deixará a #PETR4 continuar sua caminhada do repique ? Será ? De zóio ! ,);Neutro
1451;#ELET3 - Eletrobras tem prejuízo de R$ 6,29 bilhões em 2013 - http://t.co/n95VXnkNSX;Neutro
1453;#IBOV #PETR4 Petrobras dispara mais de 6% e empurra Bolsa para cima, dólar cai. http://t.co/uBeHWF40BV #BR;Neutro
1455;Virrrgi '@CarlosPort: Então a Policia Federal #PETR4,prendeu mais de 20 que destruiam provas?! Falta mais o que pra CPI? #DilmaTemMedoDaCPI';Negativo
1457;$BBDC4 - Novo corte: BB, Bradesco e Itaú rebaixados [Newsletter ADVFN] http://t.co/zh1zDo1eQ1;Neutro
1458;Opinião - Inva indica 8 ações e um ETF para investir em abril, confira: Saíram as ações da ALL (ALLL3) e, no l... http://t.co/6q9yuodA3o;Positivo
1459;Análises técnicas para IBOV, S&amp,P500, PETR4, VALE5, ABEV3, VIVT4, CMIG4, NATU3, ITUB4, PDGR3 e GGBR4  http://t.co/w456bv52ox;Neutro
1460;$CYRE3 - Cyrela Realt (cyre-nm) - Alteracao De Participacao Acionaria http://t.co/59nFZQCKgw;Positivo
1461;$AEDU3 - Anhanguera (aedu-nm) - Fato Relevante - Projecoes Financeiras Para O Ano De 2014 http://t.co/X0dQsYyLkh;Neutro
1462;Ativo c/ vol Financeiro Superior à sua MM21-15h: AUTM3 BBAS3 BRIN3 BVMF3 FIBR3 FLRY3 NATU3 TGMA3;Neutro
1478;#OIL #AL #BR #PETR4 Royalties totalizam R$ 4,657 bilhões no 1º tri. devido ao crescimento da produção de petróleo. http://t.co/8bqYjafWaY;Positivo
1479;RT @piacesiramos: Ainda sobre o escândalo da #PETROBRAS #PETR4. PT não privatizou a empresa: preferiu QUEBRÁ-LA! http://t.co/U3MhxNvaxS;Negativo
