text,texto_unido,sentFator
"rastreamento ações-gráfico diário-12h. analise se romper: indx 11550,84 ligt3 19,25 tble3 36,43 vivt4 47,55","rastreamento ações-gráfico diário-12h . analisar se romper : indx 11550,84 ligt3 19,25 tble3 36,43 vivt4 47,55",Neutro
video - análise diária com predador: esgotamento de taxa da série d ( vale5 e petr4)  - http://t.co/a8xnfgrywg,video - análise diário com predador : esgotamento de taxar da série d ( vale5 e petr4 ) - http : //t.co/a8xnfgrywg,Neutro
"@clubedopairico dilma atrás e com possibilidade de perda de mandato. dólar para cima, bolsa para cima, petr4 a 22,00","@ clubedopairico dilma atrás e com possibilidade de perda de mandatar . dólar parir cima , bolsar parir cima , petr4 o 22,00",Negativo
"rtrs - mantega: não se deve anunciar aumento da gasolina, 'se deve fazer' #petr4","rtrs - mantega : não se dever anunciar aumentar da gasolina , 'se dever fazer ' # petr4",Neutro
"bom, blz, stops ligados nas posições compradas (itub4, bbdc4 e bvmf3). lucro na mão. para o alto e avante, meninas! papai vai trabalhar!","bom , blz , stops ligar o posição comprar ( itub4 , bbdc4 e bvmf3 ) . lucrar o mão . parir o alto e avante , menino ! papar ir trabalhar !",Positivo
é uma pena ver como o pt com sua gestão nefasta destrói empresas tão boas como a #petr4 e #vale5 . coitado dos acionistas .,ser umar peno ver comer o pt com suar gestão nefasto destruir empresar tão bom comer o # petr4 e # vale5 . coitar dos acionistas .,Negativo
"para o estudo de domingo de hoje (22h00) foco nos ativos abaixo:
- abev3, alsc3, brml3, fibr3, imch3, brkm5,... http://t.co/k9rj9si6t1","parir o estudar de domingo de hoje ( 22h00 ) focar o ativos abaixar : - abev3 , alsc3 , brml3 , fibr3 , imch3 , brkm5 , ... http : //t.co/k9rj9si6t1",Positivo
"rastreamento ações-gráfico diário-11h. analise se romper:  abev3 16,94 brfs3 44,36 ecor3 13,05 itub4 31,72","rastreamento ações-gráfico diário-11h . analisar se romper : abev3 16,94 brfs3 44,36 ecor3 13,05 itub4 31,72",Neutro
"análise semanal - ibov, petr4, vale5, timp3, lpsb3, mult3, grnd3, ligt3 e abcb4. assista! http://t.co/suw34f233z","análise semanal - ibov , petr4 , vale5 , timp3 , lpsb3 , mult3 , grnd3 , ligt3 e abcb4 . assistir ! http : //t.co/suw34f233z",Neutro
"ativa indica 5 papéis para comprar ainda esta semana: saíram as ações da vale (vale5), ... http://t.co/la69rzfm6v http://t.co/zcsm6jyxyw","ativa indicar 5 papel parir comprar ainda este semana : sair o ações da valer ( vale5 ) , ... http : //t.co/la69rzfm6v http : //t.co/zcsm6jyxyw",Neutro
"rt @topbovespa: novo data center da bm&amp,fbovespa (#bvmf3) custou r$ 200 milhões e tem sala de guerra. http://t.co/bdw1vfzqy7","rt @ topbovespa : novo datar center da bm & amp , fbovespa ( # bvmf3 ) custar r $ 200 milhão e ter sala de guerra . http : //t.co/bdw1vfzqy7",Neutro
$ctip3 - cetip (ctip-nm) - demonstracoes financeiras de 31/03/2014 (cons) http://t.co/zmklj6mtzr,$ ctip3 - cetip ( ctip-nm ) - demonstracoes financeiro de 31/03/2014 ( cons ) http : //t.co/zmklj6mtzr,Neutro
$mrve3 - mrv (mrve-nm) - fato relevante - alteracao na administracao da companhia http://t.co/pdxxl414wg,$ mrve3 - mrv ( mrve-nm ) - fato relevante - alteracao o administracao da companhia http : //t.co/pdxxl414wg,Neutro
"reunião com a eletrobras na apimec rio no dia 01 de abril. coincidentemente, no dia da mentira. bela escolha, combina com a empresa. #elet6","reunião com o eletrobras o apimec rir o dia 01 de abril . coincidentemente , o dia da mentir . belo escolher , combinar com o empresar . # elet6",Negativo
"ontem o minério de ferro subiu 4%, alcançando os us$116,80. expectativa é de que sejam anunciados estímulos na economia chinesa. #vale5","ontem o minério de ferrar subir 4 % , alcançar o us $ 116,80 . expectativa ser de que ser anunciar estímulo o economia chinês . # vale5",Positivo
"boa noite pessoal. as 22h00 começa o estudo de domingo!!!
para hoje darei foco nos ativos abaixo:
- ciel3, estc3,... http://t.co/mondjlcimd","bom noite pessoal . o 22h00 comedir o estudar de domingo ! ! ! parir hoje dar focar o ativos abaixar : - ciel3 , estc3 , ... http : //t.co/mondjlcimd",Positivo
"rastreamento ações-gráfico diário-16h. analise se romper: bbdc3 30,37 bbdc4 28,36 bbtg11 27,32 brcr11 125,09 brsr6 12,02 ctip3 26,37","rastreamento ações-gráfico diário-16h . analisar se romper : bbdc3 30,37 bbdc4 28,36 bbtg11 27,32 brcr11 125,09 brsr6 12,02 ctip3 26,37",Neutro
"tempo real: petrobras, bb e eletrobras disparam 4%, sabesp cai 5% com alckmin: acompanhe aqu... http://t.co/xjthci6drk #infomoney #vale5","tempo real : petrobras , b e eletrobras disparar 4 % , sabesp cair 5 % com alckmin : acompanhar aqu ... http : //t.co/xjthci6drk # infomoney # vale5",Neutro
"#vale5 opções compre bastante, joga seu dinheiro em opções pra virar pó kkkkk","# vale5 opção comprar bastante , jogar seu dinheiro em opção pra virar pó kkkkk",Negativo
conheça as melhores pagadoras de dividendos para comprar em março: as ações da telefônica br... http://t.co/huzjcjkzra #infomoney #vale5,conhecer o melhorar pagador de dividendo parir comprar em março : o ações da telefônica br ... http : //t.co/huzjcjkzra # infomoney # vale5,Positivo
a última indicação da #krot3 resultou em -1.03 %. confira a nova indicação agora em http://t.co/kgt1yitbf7,o último indicação da # krot3 resultar em -1.03 % . conferir o novo indicação agora em http : //t.co/kgt1yitbf7,Neutro
rt @owilliam: dúvida do dia: o que aconteceria a um funcionário de qq empresa privada candidamente assumindo q deu um preju de mais de us$1…,rt @ owilliam : dúvida do dia : o que acontecer o um funcionário de q empresar privar candidamente assumir q dar um preju de mais de us $ 1…,Negativo
$bisa3 - brookfield (bisa-nm) - demonstracoes financeiras em ingles de 31/03/2014 http://t.co/gcmfmbl9sy,$ bisa3 - brookfield ( bisa-nm ) - demonstracoes financeiro em ingles de 31/03/2014 http : //t.co/gcmfmbl9sy,Neutro
estratégia de análise técnica para o pregão de hoje cyre3! #analisetecnica http://t.co/jzvyaaww0v,estratégia de análise técnico parir o pregão de hoje cyre3 ! # analisetecnica http : //t.co/jzvyaaww0v,Neutro
"rastreamento ações-gráfico diário-15h. analise se romper: alsc3 17,79 bvmf3 10,43 ccro3 16,70 estc3 22,31 icon 2252,17 mult3 46,57","rastreamento ações-gráfico diário-15h . analisar se romper : alsc3 17,79 bvmf3 10,43 ccro3 16,70 estc3 22,31 icon 2252,17 mult3 46,57",Neutro
seu perfil foi visto por 5 pessoas nas últimas 6 horas http://t.co/uivlxxo16m,seu perfil ser vestir por 5 pessoa o último 6 horar http : //t.co/uivlxxo16m,Neutro
rt @__andrii__: eu queria tanto que algumas coisas voltassem a ser como eram antes.,rt @ __andrii__ : eu querer tanto que algum coisa voltar o ser comer ser antar .,Negativo
rt @pfzutxkas: fico feliz por eles se terem divertido bastante na viagem de finalistas.,rt @ pfzutxkas : ficar feliz por ele se ter divertir bastante o viagem de finalista .,Positivo
"boas tardes !
@tentos #vale5 26,67","bom tarde ! @ tento # vale5 26,67",Positivo
"vc tem dúvida q o #ibolesma está a cara do pt? a #petr4 é 13! a #vale5 é 2 vezes 13, q é 26 e a #ogxp3 é 0,26 ou seja 13 dividido p/50!","vc ter dúvida q o # ibolesma estar o caro do pt ? o # petr4 ser 13 ! o # vale5 ser 2 vezar 13 , q ser 26 e o # ogxp3 ser 0,26 ou ser 13 dividir p/50 !",Negativo
"desempenho das ações do itaú unibanco na semana passada:na bovespa - itub4:-4,76% e itub3:-3,62%,na nyse – itub:-5,49%,índice bovespa:-2,50%","desempenhar das ações do itaú unibanco o semana passar : o bovespa - itub4 : -4,76 % e itub3 : -3,62 % , o nyse – itub : -5,49 % , índice bovespa : -2,50 %",Negativo
"14/03/14 - 17:18: maiores altas: csna3 12,67% r$9,69, usim5 5,59% r$9,06, alll3 4,57% r$7,10, bisa3 2,10% r$1,46, ggbr4 1,59% r$14,09.","14/03/14 - 17:18 : maior alto : csna3 12,67 % r $ 9,69 , usim5 5,59 % r $ 9,06 , alll3 4,57 % r $ 7,10 , bisa3 2,10 % r $ 1,46 , ggbr4 1,59 % r $ 14,09 .",Neutro
"@dellaliden professor, acha que ainda vale entrar em mplu3, estc3 e bbse3?","@ dellaliden professor , achar que ainda valer entrar em mplu3 , estc3 e bbse3 ?",Negativo
"petr4, gráfico diário. fechamento em r$ 13.11 com queda de 1.58%. http://t.co/jtza8h8u7s","petr4 , gráfico diário . fechamento em r $ 13.11 com quedo de 1.58 % . http : //t.co/jtza8h8u7s",Neutro
rt @imcharliedrew: ângela isabel adoro-te,rt @ imcharliedrew : ângela isabel adoro-te,Positivo
$estc3 - estacio part (estc-nm) - reapresentacao do material apresentado a investidores http://t.co/1s7pbvjsgq,$ estc3 - estacio part ( estc-nm ) - reapresentacao do material apresentar o investidor http : //t.co/1s7pbvjsgq,Neutro
"lame4 bateu no objetivo do anderson agora, quer ver e saber quais as operações do anderson, entre em contato: centraltrader@hotmail.com","lame4 bater o objetivo do anderson agora , querer ver e saber qual o operação do anderson , entrar em contato : centraltrader @ hotmail.com",Positivo
"uma coisa interessante que acabei de observar. tanto petr3 quando petr4 tem 107m de ações alugadas. será isso coincidencia?
@dfittarelli",umar coisa interessante que acabar de observar . tanto petr3 quando petr4 ter 107m de ações alugar . ser isso coincidencia ? @ dfittarelli,Neutro
timp3 rt @epocanegocios: justiça proíbe que tim mantenha terceirizados em atividades-fim http://t.co/pfufjgug05,timp3 rt @ epocanegocios : justiçar proibir que tim manter terceirizados em atividades-fim http : //t.co/pfufjgug05,Neutro
"ontem o minério de ferro fechou no mercado spot chinês nos us$98,50. o mercado prevê mais quedas. o que deve pressionar ainda mais a #vale5.","ontem o minério de ferrar fechar o mercar spot chinês o us $ 98,50 . o mercar prever mais quedo . o que dever pressionar ainda mais o # vale5 .",Negativo
a última indicação da #usim5 resultou em -2.62 %. confira a nova indicação agora em http://t.co/kgt1yitbf7,o último indicação da # usim5 resultar em -2.62 % . conferir o novo indicação agora em http : //t.co/kgt1yitbf7,Negativo
bom dia a todos!! será a vez da oibr4 ??,bom dia o todo ! ! ser o vez da oibr4 ? ?,Positivo
"#bovespa #usim5 usiminas pretende captar até r$ 1,15 bilhão:  http://t.co/cbbzahnwke","# bovespa # usim5 usiminas pretender captar até r $ 1,15 bilião : http : //t.co/cbbzahnwke",Neutro
$rsid3 - rossi resid (rsid-nm) - demonstracoes financeiras em ingles de 31/03/2014 http://t.co/vyoi7dycnw,$ rsid3 - rossi resid ( rsid-nm ) - demonstracoes financeiro em ingles de 31/03/2014 http : //t.co/vyoi7dycnw,Neutro
"ai vai uma análise da petr4.
abraço, andré mendonça, cnpi-t, mba http://t.co/fptczomdgd","ai ir umar análise da petr4 . abraçar , andré mendonça , cnpi-t , mba http : //t.co/fptczomdgd",Neutro
@live_trade marcão alguma coisa para o itub4,@ live_trade marcão algum coisa parir o itub4,Positivo
"mercado subiu bem ontem e hoje, geou mudanças em nossas posições: stop em bvmf3, ccro3. rp em mrve3. posições com rp ja feita continua","mercar subir bem ontem e hoje , gear mudança em nosso posição : stop em bvmf3 , ccro3 . rp em mrve3 . posição com rp ja feito continuar",Positivo
rt @pato7oficial: grande vitoria!!!!! #avantesoberano #vamossaopaulo,rt @ pato7oficial : grande vitoriar ! ! ! ! ! # avantesoberano # vamossaopaulo,Positivo
gráfico da #petr4 de 60 minutos. momento delicado... ou bom para venda? http://t.co/vyubhgm0pa,gráfico da # petr4 de 60 minuto . momento delicado ... ou bom parir vender ? http : //t.co/vyubhgm0pa,Neutro
#petr4): a cia informou que foi encerrado no dia 31 de março o prazo de inscrição para o plano de incentivo ao... http://t.co/i7occ2nk3m,# petr4 ) : o ciar informar que ser encerrar o dia 31 de março o prazo de inscrição parir o planar de incentivar ao ... http : //t.co/i7occ2nk3m,Neutro
"desempenho das ações da tim na semana passada: timp3 (bovespa): -3,36%, tsu (nyse): -3,28%, ibov: -2,76%.","desempenhar das ações da tim o semana passar : timp3 ( bovespa ) : -3,36 % , tsu ( nyse ) : -3,28 % , ibov : -2,76 % .",Neutro
@juan_cruz3 nada importante,@ juan_cruz3 nado importante,Neutro
"#rent3 rompeu resistência, fez novo th e vai subindo com ótimo volume hoje! linda!","# rent3 romper resistência , fazer novo th e ir subir com ótimo volumar hoje ! lindo !",Positivo
mrve3 vender a r$ 8.28 indicado em 13/03/2014 13:39 e finalizou a compra com resultado de r$ 0.11 ou 1.35 % http://t.co/kgt1yitbf7,mrve3 vender o r $ 8.28 indicar em 13/03/2014 13:39 e finalizar o comprar com resultar de r $ 0.11 ou 1.35 % http : //t.co/kgt1yitbf7,Neutro
que doidera esse volume que entrou em petr4 agora.o.o,que doidera esse volumar que entrar em petr4 agora.o.o,Negativo
bb despenca com decisão na justiça: as ações do banco do brasil (bbas3) despencaram nos… http://t.co/mxpfjw0dcb,b despencar com decisão o justiçar : o ações do banco do brasil ( bbas3 ) despencar nos… http : //t.co/mxpfjw0dcb,Negativo
"@clubedopairico #petr4 poderia descer de 15,42. aí sim ficaria bonito!","@ clubedopairico # petr4 poder descer de 15,42. aí sim ficar bonito !",Negativo
"hgtx cia hering dividendos ||aprov 23/4/2014||dataex 24/4/2014||pagto 28/5/2014||hgtx3 r$0,3037 http://t.co/nn7pfucom3","hgtx ciar hering dividendo ||aprov 23/4/2014||dataex 24/4/2014||pagto 28/5/2014||hgtx3 r $ 0,3037 http : //t.co/nn7pfucom3",Neutro
"a véia do neurônio solitário caiu nas pesquisas, resultado petr4 subindo 6,7%,","o véia do neurônio solitário cair o pesquisar , resultar petr4 subir 6,7 % ,",Positivo
$elet3 - eletrobras (elet-n1) - demonstracoes financeiras de 31/03/2014 (individual) http://t.co/9lhfkhkh7i,$ elet3 - eletrobras ( elet-n1 ) - demonstracoes financeiro de 31/03/2014 ( individual ) http : //t.co/9lhfkhkh7i,Neutro
"prumo logística, ex-llx, anuncia prejuízo de r$ 135,8 milhões em 2013:   a prumo logística, ex-llx (llxl3), d... http://t.co/rrj3ta4q3b","prumar logístico , ex-llx , anunciar prejuízo de r $ 135,8 milhão em 2013 : o prumar logístico , ex-llx ( llxl3 ) , d ... http : //t.co/rrj3ta4q3b",Neutro
rt @tbhhmari: tenho saudades de falar contigo todos os dias,rt @ tbhhmari : ter saudade de falar comigo todo o dia,Negativo
“@picapautrader: #vale5 última hora para o bebê abandonado da vale não virar bebê cagado!!”,“ @ picapautrader : # vale5 último horar parir o beber abandonar da valer não virar beber cagar ! ! ”,Negativo
"petr4 - quando ha noticias ´´boas´´ acao cai.. quando aparece escandalos e outras not. nao agradeveis, sobe.. #toforaaaaa","petr4 - quando ha noticiar ´´boas´´ acao cair .. quando aparecer escandalos e outro not . nao agradeveis , subir .. # toforaaaaa",Negativo
"opinião - ativa indica 5 papéis para comprar ainda esta semana: saíram as ações da vale (vale5), da klabin (kl... http://t.co/clomjygax5","opinião - ativa indicar 5 papel parir comprar ainda este semana : sair o ações da valer ( vale5 ) , da klabin ( kl ... http : //t.co/clomjygax5",Neutro
"rt @ubrals:  sim, sim. este é @depeduardocunha, contra o mc. e &gt,@eduardocampos40 que fez psb votar contra cpi #petr4 http://t.co/rrsqo0kmwn","rt @ ubrals : sim , sim . este ser @ depeduardocunha , contra o mc . e & gt , @ eduardocampos40 que fazer psb votar contra cpi # petr4 http : //t.co/rrsqo0kmwn",Negativo
"oibr4, gráfico diário. fechamento em r$ 3.40 com queda de 0.87%. http://t.co/whhq5qmvmb","oibr4 , gráfico diário . fechamento em r $ 3.40 com quedo de 0.87 % . http : //t.co/whhq5qmvmb",Neutro
#petr4 caiu tanto nesses últimos ano que só o custo de oportunidade já é mto representativo..,# petr4 cair tanto nesses último ano que só o custar de oportunidade já ser mto representativo ..,Negativo
@live_trade deixa o m lynch acordar q a festa da #petr4 acaba,@ live_trade deixar o m lynch acordar q o festa da # petr4 acabar,Negativo
"#ggbr4 a forte alta dos alugueis foram zerados ontem e termo em alta, só falta bombar e tem que pivotear pra cima! http://t.co/nk49a0conj","# ggbr4 o forte alto dos alugar ser zerados ontem e ter em alto , só falto bombar e ter que pivotear pra cima ! http : //t.co/nk49a0conj",Positivo
@clubedopairico  ibovespa nas médias. se bobear da pra brincar de urso se o mov. da petr4 for só uma correção. de olho! o.o,@ clubedopairico ibovespa o médio . se bobear da pra brincar de urso se o mov . da petr4 ser só umar correção . de olhar ! o.o,Negativo
"@raphafigueredo professor, acha que ainda vale entrar em mplu3, estc3 e bbse3?","@ raphafigueredo professor , achar que ainda valer entrar em mplu3 , estc3 e bbse3 ?",Neutro
$rent3 - localiza (rent-nm) - distribuicao de juros sobre o capital proprio (valor final) http://t.co/55qs0imihk,$ rent3 - localizar ( rent-nm ) - distribuicao de juro sobrar o capital proprio ( valor final ) http : //t.co/55qs0imihk,Neutro
"apesar de pouco volume ainda, hype3 linda no mensal..... nos 60 pivot acionado!","apesar de pouco volumar ainda , hype3 lindo o mensal ..... o 60 pivot acionado !",Positivo
#vale5 as opções venc dia 19/05 vão virar pó ai a vale5 vai subir é claro !!!!!!!!!,# vale5 o opção venc dia 19/05 ir virar pó ai o vale5 ir subir ser claro ! ! ! ! ! ! ! ! !,Negativo
"#qual3 - qualicorp amplia prejuízo para r$41,2 mi no 4º tri - http://t.co/h3wxziecuu","# qual3 - qualicorp ampliar prejuízo parir r $ 41,2 mi o 4º tri - http : //t.co/h3wxziecuu",Negativo
@ferrisss alugou suas llxl3 ontem?,@ ferrisss alugar suar llxl3 ontem ?,Neutro
"pré-sal e pós-sal: petrobras implanta nova plataforma

a petrobras (petr4) anunciou ontem que a plataforma p-58,... http://t.co/pwbb8tiqh0","pré-sal e pós-sal : petrobras implantar novo plataforma o petrobras ( petr4 ) anunciar ontem que o plataforma p-58 , ... http : //t.co/pwbb8tiqh0",Neutro
"mas vale5 tinha que passar dos $28,00, pra começar a deixar a nhaca pra trás...","mas vale5 ter que passar dos $ 28,00 , pra começar o deixar o nhaca pra trás ...",Negativo
"rt @garimpodeacoes: localiza(rent3)tem lucro recorde e mantém expectativa positiva p/o corrente ano. agora sobe na bovespa 2,84% mas na máx…","rt @ garimpodeacoes : localizar ( rent3 ) ter lucrar recordar e manter expectativa positivo p/o corrente ano . agora subir o bovespa 2,84 % mas o máx…",Positivo
rt @chrinvestor: só ontem a #petr4 ganhou r$14 bi em valor de mercado. isso representa 5 'pasadenas'. pena q essa valorização é uma exceção…,rt @ chrinvestor : só ontem o # petr4 ganhar r $ 14 bi em valor de mercar . isso representar 5 'pasadenas ' . peno q esse valorização ser umar exceção…,Negativo
"esqueça pasadena, petrobras tem um problema maior no nordeste #petr4 http://t.co/gjyumn9d2p","esquecer pasadena , petrobras ter um problema maior o nordeste # petr4 http : //t.co/gjyumn9d2p",Negativo
"a light s.a. fechou o dia de hoje ao preço de r$ 19,32 (+0,75%) com volume de r$ 15,78 mm.
$ligt3","o light s.a. fechar o dia de hoje ao preço de r $ 19,32 ( +0,75 % ) com volumar de r $ 15,78 m . $ ligt3",Positivo
bom ... o volume encolheu bastante depois da arrancada ... entonssis ... vamos ver ... vamos ver ... #petr4,bom ... o volumar encolher bastante depois da arrancar ... entonssis ... ir ver ... ir ver ... # petr4,Positivo
"tempo real: china puxa alta da vale, csn sobe mais de 3% com recompra de ações: acompanhe aq... http://t.co/dsog2frxjq #infomoney #vale5","tempo real : chino puxar alto da valer , csn subir mais de 3 % com recomprar de ações : acompanhar aq ... http : //t.co/dsog2frxjq # infomoney # vale5",Positivo
"rt @live_trade: #vale5 se menor 26,66 abre alvo p/ baixo...pqp  rsr","rt @ live_trade : # vale5 se menor 26,66 abrir alvo p/ baixar ... pqp rsr",Negativo
"conheça a queridinha do ibovespa, papel é recomendado 15 vezes: a ação da vale é, pela nona ... http://t.co/dn1mt6thg6 #infomoney #vale5","conhecer o querido do ibovespa , papel ser recomendar 15 vezar : o ação da valer ser , pelar nono ... http : //t.co/dn1mt6thg6 # infomoney # vale5",Positivo
"rastreamento ações-gráfico diário-16h analise se romper:aedu3 13,70 brml3 19,19 embr3 20,46 estc3 22,25 estc3 22,25 hgtx3 27,53","rastreamento ações-gráfico diário-16h analisar se romper : aedu3 13,70 brml3 19,19 embr3 20,46 estc3 22,25 estc3 22,25 hgtx3 27,53",Neutro
$petr3 - petrobras (petr) - comunicado http://t.co/mhuciyqmfi,$ petr3 - petrobras ( petr ) - comunicar http : //t.co/mhuciyqmfi,Neutro
"21/03/14-17:22: maiores baixas: estc3 -5,10% r$21,58, llxl3 -3,13% r$0,93, dasa3 -2,55% r$13,75, jbss3 -2,41% r$7,68, krot3 -1,91% r$ 47,82.","21/03/14-17:22 : maior baixo : estc3 -5,10 % r $ 21,58 , llxl3 -3,13 % r $ 0,93 , dasa3 -2,55 % r $ 13,75 , jbss3 -2,41 % r $ 7,68 , krot3 -1,91 % r $ 47,82 .",Negativo
após se livrar das linhas do #rivakeltner e da #médiarock o diário de itub4 engrenou uma alta ... leia mais  http://t.co/jv00e9tulp,após se livrar das linha do # rivakeltner e da # médiarock o diário de itub4 engrenar umar alto ... ler mais http : //t.co/jv00e9tulp,Positivo
@fhc_fake com esse fundamentos é brincar com o povo ! saudades dessa pessoa  http://t.co/wevhtja81a http://t.co/en3ovuxu2r,@ fhc_fake com esse fundamento ser brincar com o povo ! saudade dessar pessoa http : //t.co/wevhtja81a http : //t.co/en3ovuxu2r,Negativo
rt @picapautrader: #sbsp3: o índice que mede o volume de água armazenado nos reservatórios do sistema cantareira registrou novo... http://t…,rt @ picapautrader : # sbsp3 : o índice que medir o volumar de água armazenar o reservatório do sistema cantareira registrar novo ... http : //t…,Neutro
"a light s.a. fechou o dia de ontem ao preço de r$ 18,40 (+2,17%) com volume de r$ 28,25 mm.
$ligt3","o light s.a. fechar o dia de ontem ao preço de r $ 18,40 ( +2,17 % ) com volumar de r $ 28,25 m . $ ligt3",Neutro
"confira o potencial de valorização de 66 ações, upside supera 120%: foram utilizadas as prev... http://t.co/hbplnx7nxm #infomoney #vale5","conferir o potencial de valorização de 66 ações , upside superar 120 % : ser utilizar o prev ... http : //t.co/hbplnx7nxm # infomoney # vale5",Positivo
"boa a recuperação de bbas3 e bvmf3, nos últimos 2 pregões. até petr4 deu uma melhoradinha... que vá pelo menos a $15,00.","bom o recuperação de bbas3 e bvmf3 , o último 2 pregão . até petr4 dar umar melhoradinha ... que ir pelar menos o $ 15,00 .",Positivo
"@kimsjrp bolsa bombando novamente, vamu que vamu petr4 e vale5, quero ganhar uma grana com vcs...uuuuuu","@ kimsjrp bolsar bombando novamente , vamu que vamu petr4 e vale5 , querer ganhar umar granir com vcs ... uuuuuu",Positivo
@live_trade tá mesmo com uma cara boa essa venda. vamos aguardar. #petr4 e #vale5 estão bem doidinhas hoje.,@ live_trade tá mesmo com umar caro bom esse vender . ir aguardar . # petr4 e # vale5 estar bem doido hoje .,Positivo
"ações ex-dividendos hoje: cesp, cpfe3, ecor3, enbr3, grnd3, odpv3, ssbr3, posi3 e tgma3. as cotações foram ajustadas! http://t.co/c7k4dudid2","ações ex-dividendos hoje : cesp , cpfe3 , ecor3 , enbr3 , grnd3 , odpv3 , ssbr3 , posi3 e tgma3 . o cotação ser ajustar ! http : //t.co/c7k4dudid2",Positivo
"#petr4 hj foi 14,45 obj cumprido, e suporte 14,09 funfou...rsrrsr","# petr4 hj ser 14,45 obj cumprir , e suportar 14,09 funfou ... rsrrsr",Positivo
$elet3 - eletrobras (elet-n1) - demonstracoes financeiras de 31/12/2013 - reapresentacao http://t.co/pjuomjfttt,$ elet3 - eletrobras ( elet-n1 ) - demonstracoes financeiro de 31/12/2013 - reapresentacao http : //t.co/pjuomjfttt,Neutro
queria muito saber quais fundos entraram forte comprando petr3 hoje.,querer muito saber qual fundo entrar forte comprar petr3 hoje .,Neutro
$elet3 - eletrobras (elet-n1) - fato relevante e demonstracoes financeiras de 31/12/2013 http://t.co/e2nibfz6vy,$ elet3 - eletrobras ( elet-n1 ) - fato relevante e demonstracoes financeiro de 31/12/2013 http : //t.co/e2nibfz6vy,Positivo
#meat #bovespa #jbss3 #friboi ipo da jbs foods ajudaria jbs a financiar investimentos: http://t.co/v9drudfco8,# meat # bovespa # jbss3 # friboi ipo da jbs foods ajudar jbs o financiar investimento : http : //t.co/v9drudfco8,Neutro
"@will_vs alll3 cuidado!!!! . os valores hj são tros, assim que ligar passo","@ will_vs alll3 cuidar ! ! ! ! . o valorar hj ser tros , assim que ligar passar",Neutro
jbs (#jbss3) avalia abertura capital de subsdiária após questionamento da bolsa. http://t.co/tuizgyrfhu    (valor),jbs ( # jbss3 ) avaliar abertura capital de subsdiária após questionamento da bolsar . http : //t.co/tuizgyrfhu ( valor ),Neutro
"@fontes_  petrobras petr4 - lula capitalizou em 2010 a r$ 26,30. últimos 6 meses...março na bacia das almas! http://t.co/l00d2g2ato","@ fontes_ petrobras petr4 - lula capitalizar em 2010 o r $ 26,30. último 6 mês ... março o bacia das almo ! http : //t.co/l00d2g2ato",Neutro
rt @rachelasdfglee: golooooooooooooooooo,rt @ rachelasdfglee : golooooooooooooooooo,Positivo
"terceiro programa de recompra de ações da #csn #csna3 anunciado em um total de recompra de 53.326.161 ações. ativo sobe mais de 5,5%.","terceirar programar de recomprar de ações da # csn # csna3 anunciar em um total de recomprar de 53.326.161 ações . ativo subir mais de 5,5 % .",Neutro
#mrfg3 - marfrig estuda abrir capital de subsidiárias no exterior neste ano - http://t.co/fp8qgnti2j,# mrfg3 - marfrig estudar abrir capital de subsidiário o exterior neste ano - http : //t.co/fp8qgnti2j,Neutro
"#elet3 - eletrobras vai captar cerca de r$ 4 bilhões neste ano, diz presidente - http://t.co/mvatua7yrb","# elet3 - eletrobras ir captar cercar de r $ 4 bilião neste ano , dizer presidente - http : //t.co/mvatua7yrb",Neutro
"#br #bovespa #brpr3 br properties anuncia venda de r$ 3,18 bilhões em imóveis. http://t.co/ip3sxylaxa  #ibov - 0,93% aos 46.654 pontos.","# br # bovespa # brpr3 br properties anunciar vender de r $ 3,18 bilião em imóvel . http : //t.co/ip3sxylaxa # ibov - 0,93 % aos 46.654 ponto .",Positivo
"tá explicado movimento da #petr4 hoje. pf pegou peixe grande, implicação grande no 'guvêrno'. e minhas #indj14 ó… nada de conseguir vender.","tá explicar movimentar da # petr4 hoje . pf pegar peixe grande , implicação grande o 'guvêrno ' . e meu # indj14 ó… nado de conseguir vender .",Negativo
segue o gráfico atualizado da #oibr4 pelas #ondasdeelliot : http://t.co/udxrkahkmx,seguir o gráfico atualizado da # oibr4 pelar # ondasdeelliot : http : //t.co/udxrkahkmx,Neutro
"#intraday maiores altas do #ibov: elet3 +10,0% llxl3 +8,7% rsid3 +7,2% petr3 +7,2% bbas3 +6,9% petr4 +6,9%","# intraday maior alto do # ibov : elet3 +10,0 % llxl3 +8,7 % rsid3 +7,2 % petr3 +7,2 % bbas3 +6,9 % petr4 +6,9 %",Neutro
#pdgr3 suportes e resistências http://t.co/2hnlmaflrf,# pdgr3 suporte e resistência http : //t.co/2hnlmaflrf,Positivo
"pô, de novo leilão da #petr4 começando nos r$33,00 ?!!?!?","pôr , de novo leilão da # petr4 começar o r $ 33,00 ? ! ! ? ! ?",Negativo
"#petr4 fêz na máx de 07/05 uma onda 3 de topo tem obj de onda 4 em 16,40 e 15,70 com alvo de onda 5 para 20,15 22,50 http://t.co/zlp5kpvvul","# petr4 fêz o máx de 07/05 umar onda 3 de topar ter obj de onda 4 em 16,40 e 15,70 com alvo de onda 5 parir 20,15 22,50 http : //t.co/zlp5kpvvul",Neutro
$csna3 - csn e usiminas: má notícia [newsletter advfn] http://t.co/il4dct8emc,$ csna3 - csn e usiminas : mau notícia [ newsletter advfn ] http : //t.co/il4dct8emc,Negativo
